dim_execution_start_datetime,dim_start_datetime,dbt_invocation_id,sf_query_id,sf_transaction_id,sf_session_id,sf_schema_id,sf_warehouse_id,sf_database_id,dim_end_datetime,dim_incremental_strategy_dbt,dim_materialization_dbt,dim_model_name_dbt,dim_outbound_cloud_transfer,dim_outbound_region_transfer,dim_package_name_dbt,dim_user_name_dbt,info_refs_dbt,info_sources_dbt,info_tags_dbt,is_full_refresh,dim_database_name,dim_role_name,dim_role_type,dim_schema_name,dim_user_name_snowflake,dim_warehouse_name,dim_warehouse_size,dim_warehouse_type,met_bytes_deleted,met_bytes_read_from_result,met_bytes_scanned,met_bytes_sent_over_network,met_bytes_spilled_to_local_storage,met_bytes_spilled_to_remote_storage,met_bytes_written,met_bytes_written_to_result,met_child_queries_wait_millis,met_compilation_millis,met_credits_attributed_compute,met_credits_used_cloud,met_credits_used_query_acceleration,met_execution_millis,met_external_function_invocations,met_external_function_received_rows,met_external_function_received_bytes,met_external_function_sent_bytes,met_external_function_sent_rows,met_fault_handling_millis,met_inbound_cloud_transfer,met_inbound_region_transfer,met_inbound_transfer_bytes,met_list_external_files_millis,met_outbound_transfer_bytes,met_partitions_scanned,met_partitions_total,met_query_acceleration_bytes_scanned,met_query_acceleration_partitions_scanned,met_queued_provisioning_millis,met_queued_overload_millis,met_rows_deleted,met_rows_inserted,met_rows_produced,met_rows_unloaded,met_rows_updated,met_rows_written_to_result,met_total_elapsed_millis,met_transaction_blocked_millis,met_query_runtime_millis,met_query_runtime_seconds,met_credits_used_compute
2026-01-15 19:49:24.987,2026-01-15 19:49:24.521,019bc334-8651-70d1-88f4-c7e001458937,01c1c125-0417-c2ac-0000-328d39111fb6,1768506564408000000,55581545895930,,64,149,2026-01-15 19:49:25.328,,seed,expected_bse_snowflake__warehouse_metering_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,4096,26,0,200,9.393750000000001e-06,5.1e-05,,341,0,0,0,0,0,,,,0,0,0,0,0,0,0,266,0,0,10,10.0,0,0,1,807,0,682,0.682,0.214957593
2026-01-15 19:32:01.821,2026-01-15 19:32:01.395,019bc324-a83d-7f93-84c8-8f8809b366cd,01c1c114-0417-c2ac-0000-328d39111ac6,1768505521321000000,55581545889754,,64,149,2026-01-15 19:32:02.201,,seed,expected_bse_snowflake__warehouse_metering_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,4096,26,0,288,0.0,7.3e-05,,380,0,0,0,0,0,,,,0,0,0,0,0,0,0,138,0,0,10,10.0,0,0,1,806,0,760,0.76,0.239542407
2026-01-15 21:43:46.092,2026-01-15 21:43:45.979,019bc39d-4486-7453-b155-14bc7617cbeb,01c1c197-0417-c2ac-0000-328d3913055e,1768513425940000000,55581545909662,,64,149,2026-01-15 21:43:46.298,,seed,seed__snowflake__account_usage__query_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,23552,26,0,113,0.0,3.3e-05,,206,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10,10.0,0,0,1,319,0,412,0.412,0.2619441015
2026-01-15 21:35:40.776,2026-01-15 21:35:39.803,019bc395-cea7-7f10-bf31-6d6cccaa354f,01c1c18f-0417-c2ac-0000-328d391301ce,1768512939741000000,55581545909582,,64,149,2026-01-15 21:35:41.025,,seed,expected_bse_snowflake__warehouse_metering_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,4096,26,0,326,2.0937499999999997e-05,6.6e-05,,249,0,0,0,0,0,,,,0,0,0,0,0,0,0,647,0,0,10,10.0,0,0,1,1222,0,498,0.498,0.31662316062499996
2026-01-15 21:35:40.473,2026-01-15 21:35:40.130,019bc395-cea7-7f10-bf31-6d6cccaa354f,01c1c18f-0417-c443-0000-328d3912f2a6,1768512940086000000,55581545914818,,64,149,2026-01-15 21:35:40.882,,seed,seed__snowflake__account_usage__warehouse_metering_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,3584,26,0,217,2.0937499999999997e-05,4.8e-05,,409,0,0,0,0,0,,,,0,0,0,0,0,0,0,126,0,0,10,10.0,0,0,1,752,0,818,0.818,0.520075212
2026-01-15 21:43:45.578,2026-01-15 21:43:45.497,019bc39d-4486-7453-b155-14bc7617cbeb,01c1c197-0417-c443-0000-328d3912f59a,1768513425419000000,55581545909654,,64,149,2026-01-15 21:43:45.753,,seed,expected_bse_snowflake__warehouse_metering_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,4096,26,0,81,0.0,2.6e-05,,175,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10,10.0,0,0,1,256,0,350,0.35,0.22252573574999998
2026-01-15 23:12:03.259,2026-01-15 23:12:03.116,019bc3e3-e1d4-7990-b0ea-b5841e81a1ab,01c1c1f0-0417-c2ac-0000-328d391421b6,1768518723542000000,55581545924826,,64,149,2026-01-15 23:12:04.056,delete+insert,incremental,mrt_dbt_model_activity,,,loom,dbt_svc,,,,False,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,0,63,0,143,0.0,9.3e-05,,797,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,940,0,1594,1.594,2.35
2026-01-15 21:54:25.282,2026-01-15 21:54:24.876,019bc3a7-0463-7cf1-ba82-22e6f3eeed63,01c1c1a2-0417-c443-0000-328d39134632,1768514064835000000,55581545915646,,64,149,2026-01-15 21:54:25.616,,seed,seed__snowflake__account_usage__query_attribution_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,5632,26,0,294,0.0,6.3e-05,,334,0,0,0,0,0,,,,0,0,0,0,0,0,0,112,0,0,10,10.0,0,0,1,740,0,668,0.668,0.424706790125
2026-01-15 22:27:45.032,2026-01-15 22:27:44.833,019bc3c5-89e6-7b10-908a-5fcb03f12b74,01c1c1c3-0417-c443-0000-328d3913d322,1768516064786000000,55581545923858,,64,149,2026-01-15 22:27:45.380,,seed,expected_bse_snowflake__warehouse_metering_history,,,loom,dbt_svc,,,,,local_bengen,dbt_dev,role,,dbt_svc,loom_xs_wh,x-small,standard,0,0,0,0,0,0,4096,26,0,199,0.0,5.2e-05,,348,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10,10.0,0,0,1,547,0,696,0.696,1.977625
